"Sr"	"Locus.name"	"Minimum"	"Maximum"	"Product"	"Chromosome"	"Physical.Map.Position"	"Component.SSRs"	"Overlaps"	"Duplicates"
"1224"	"1224"	"isep1043"	"7747684"	"7748179"	"495"	"2"	"7.7477"	""	""	""
"1228"	"1228"	"isep0750"	"8063588"	"8063895"	"307"	"2"	"8.0636"	"2 SSRs including that detected by SB1057"	"Overlap with SB1057"	""
"1236"	"1236"	"isep0709"	"8872945"	"8873159"	"214"	"2"	"8.8729"	""	""	""
"1239"	"1239"	">Bx8"	"9136179"	"9136320"	"141"	"2"	"9.1362"	""	""	""
"1240"	"1240"	"isep1013"	"9171651"	"9171852"	"201"	"2"	"9.1717"	""	"Overlap with SB1068"	""
"1246"	"1246"	"iabtp368"	"9646803"	"9646967"	"164"	"2"	"9.6468"	""	"Overlap with Xiabtp521"	"Same as Xiabtp521"
"1247"	"1247"	"iabtp521"	"9646803"	"9646967"	"164"	"2"	"9.6468"	""	"Overlap with Xiabtp368"	"Same as Xiabtp368"
"1268"	"1268"	"iabtp346"	"12657734"	"12657905"	"171"	"2"	"12.6577"	"SSR segment included in SB1094"	"Overlap with SB1094"	""
"1269"	"1269"	"isep0723"	"13005461"	"13005688"	"227"	"2"	"13.0055"	""	""	""
"1271"	"1271"	"txp004"	"13205419"	"13205591"	"172"	"2"	"13.2054"	""	""	""
"1272"	"1272"	"iabtp515"	"13321117"	"13321315"	"198"	"2"	"13.3211"	""	"Overlap with SB1096"	""
"1276"	"1276"	"isep0719"	"13451083"	"13451302"	"219"	"2"	"13.4511"	""	""	""
"1279"	"1279"	"iabtp168"	"13723586"	"13723672"	"86"	"2"	"13.7236"	""	""	""
"1281"	"1281"	"isep0715"	"13838893"	"13839146"	"253"	"2"	"13.8389"	""	""	""
"1284"	"1284"	"isep0726"	"13960072"	"13960433"	"361"	"2"	"13.9601"	""	""	""
"1287"	"1287"	"mSbCIR238"	"14746509"	"14746583"	"74"	"2"	"14.7465"	""	""	""
"1300"	"1300"	"iabtp247"	"16901491"	"16901708"	"217"	"2"	"16.9015"	""	""	""
"1309"	"1309"	"iabtp500"	"18841355"	"18841533"	"178"	"2"	"18.8414"	"SSR segment included in SB1125"	"Overlap with SB1125"	""
"1312"	"1312"	"isep0936"	"19855533"	"19855815"	"282"	"2"	"19.8555"	""	""	""
"1314"	"1314"	"iabtp182"	"19860402"	"19860543"	"141"	"2"	"19.8604"	""	"Overlap with SB1128"	""
"1315"	"1315"	"isep0835"	"19887057"	"19887263"	"206"	"2"	"19.8871"	""	""	""
"1317"	"1317"	"iabtp393"	"20924802"	"20924994"	"192"	"2"	"20.9248"	""	"Overlap with SB1131"	""
"1321"	"1321"	"iabtp429"	"22491624"	"22491729"	"105"	"2"	"22.4916"	"SSR segment included in SB1134"	"Overlap with SB1134"	""
"1327"	"1327"	"isep0902"	"22969008"	"22969198"	"190"	"2"	"22.9690"	""	""	""
"1330"	"1330"	"SRSC9_006"	"23060410"	"23060663"	"253"	"2"	"23.0604"	""	""	""
"1336"	"1336"	"txp003"	"27850982"	"27851213"	"231"	"2"	"27.8510"	"2 SSRs including that detected by Xtxp072"	"Overlap with Xtxp072"	""
"1337"	"1337"	"txp072"	"27850991"	"27851113"	"122"	"2"	"27.8510"	"SSR segment included in Xtxp003"	"Overlap with Xtxp003"	""
"1338"	"1338"	"iabtp232"	"28681090"	"28681403"	"313"	"2"	"28.6811"	""	""	""
"1342"	"1342"	"cup74"	"40530653"	"40530880"	"227"	"2"	"40.5307"	""	""	""
"1350"	"1350"	"isep0906"	"47264623"	"47264823"	"200"	"2"	"47.2646"	""	""	""
"1351"	"1351"	"txp055"	"47307169"	"47307377"	"208"	"2"	"47.3072"	""	""	""
"1353"	"1353"	"isep0901"	"49235759"	"49236125"	"366"	"2"	"49.2358"	""	""	""
"1368"	"1368"	"isep0918"	"51564695"	"51564934"	"239"	"2"	"51.5647"	""	""	""
"1372"	"1372"	"isep0928"	"52351720"	"52351940"	"220"	"2"	"52.3517"	""	""	""
"1383"	"1383"	"iabtp444"	"55461697"	"55461937"	"240"	"2"	"55.4617"	""	"Overlap with Xiabtp523"	"Same as Xiabtp523"
"1384"	"1384"	"iabtp523"	"55461697"	"55461937"	"240"	"2"	"55.4617"	""	"Overlap with Xiabtp444"	"Same as Xiabtp444"
"1387"	"1387"	"txp013"	"55949969"	"55950088"	"119"	"2"	"55.9500"	"SSR segment included in SB1195"	"Overlap with SB1195"	""
"1389"	"1389"	"isep0927"	"56083752"	"56083966"	"214"	"2"	"56.0838"	""	""	""
"1390"	"1390"	"isep0908"	"56084972"	"56085174"	"202"	"2"	"56.0850"	"SSR segment included in SB1197"	"Overlap with Xiabtp193 and SB1197"	"Similar to Xiabtp193"
"1391"	"1391"	"iabtp193"	"56084972"	"56085190"	"218"	"2"	"56.0850"	"SSR segment included in SB1197"	"Overlap with Xisep0908 and SB1197"	"Similar to Xisep0908"
"1394"	"1394"	"PRSC10_067"	"56162151"	"56162492"	"341"	"2"	"56.1622"	""	""	""
"1401"	"1401"	"isep0914"	"56555761"	"56555973"	"212"	"2"	"56.5558"	""	""	""
"1405"	"1405"	"txp298"	"57081007"	"57081206"	"199"	"2"	"57.0810"	""	"Overlap with SB1209"	"Similar to SB1209"
"1411"	"1411"	"isep0915"	"57500590"	"57500788"	"198"	"2"	"57.5006"	""	""	""
"1427"	"1427"	"SbAGB03"	"58127980"	"58128124"	"144"	"2"	"58.1280"	""	"Overlap with SB1230"	""
"1436"	"1436"	"isep0916"	"58429769"	"58429990"	"221"	"2"	"58.4298"	""	""	""
"1441"	"1441"	"isep0917"	"58651723"	"58651912"	"189"	"2"	"58.6517"	""	""	""
"1444"	"1444"	"iabtp391"	"58868181"	"58868584"	"403"	"2"	"58.8682"	""	""	""
"1445"	"1445"	"iabtp265"	"58910145"	"58910391"	"246"	"2"	"58.9101"	""	""	""
"1446"	"1446"	"cup63"	"59104626"	"59104771"	"145"	"2"	"59.1046"	""	""	""
"1449"	"1449"	"txp464"	"59203249"	"59203389"	"140"	"2"	"59.2032"	""	"Overlap with Xiabtp80 and SB1247"	"Similar to Xiabtp80"
"1450"	"1450"	"iabtp80"	"59203249"	"59203425"	"176"	"2"	"59.2032"	""	"Overlap with Xtxp464 and SB1247"	"Similar to Xtxp464"
"1469"	"1469"	"mSbCIR339"	"60190392"	"60190568"	"176"	"2"	"60.1904"	""	"Overlap with SB1266"	""
"1473"	"1473"	">Svgammakafirin"	"60424292"	"60426403"	"2111"	"2"	"60.4243"	""	""	""
"1474"	"1474"	">SbGammaKafirin"	"60424805"	"60425378"	"573"	"2"	"60.4248"	""	""	""
"1475"	"1475"	">Sbgammakafirinprotein"	"60424805"	"60425855"	"1050"	"2"	"60.4248"	""	""	""
"1477"	"1477"	"txp214"	"60443253"	"60443473"	"220"	"2"	"60.4433"	""	""	""
"1479"	"1479"	"txp445"	"60453216"	"60453454"	"238"	"2"	"60.4532"	""	"Overlap with Xcup29"	""
"1480"	"1480"	"cup29"	"60453367"	"60453558"	"191"	"2"	"60.4534"	""	"Overlap with Xtxp445"	""
"1485"	"1485"	"txp466"	"60651306"	"60651465"	"159"	"2"	"60.6513"	""	""	""
"1486"	"1486"	"txp465"	"60667774"	"60667951"	"177"	"2"	"60.6678"	""	""	""
"1490"	"1490"	"iabtp509"	"60822362"	"60822602"	"240"	"2"	"60.8224"	""	"Overlap with SB1279"	""
"1497"	"1497"	"txp430"	"61089826"	"61089984"	"158"	"2"	"61.0898"	""	""	""
"1498"	"1498"	"isep0934"	"61224621"	"61224817"	"196"	"2"	"61.2246"	""	""	""
"1504"	"1504"	"txp001"	"61367786"	"61367997"	"211"	"2"	"61.3678"	""	"Overlap with SB1292"	""
"1508"	"1508"	"isep0926"	"61538987"	"61539178"	"191"	"2"	"61.5390"	""	""	""
"1509"	"1509"	"txp056"	"61568608"	"61568955"	"347"	"2"	"61.5686"	""	""	""
"1526"	"1526"	"isep0913"	"62402493"	"62402701"	"208"	"2"	"62.4025"	""	""	""
"1540"	"1540"	"isep0941"	"63117140"	"63117328"	"188"	"2"	"63.1171"	""	""	""
"1543"	"1543"	"iabtp231"	"63130201"	"63130360"	"159"	"2"	"63.1302"	""	"Overlap with SB1329"	""
"1551"	"1551"	"isep0938"	"63436814"	"63437019"	"205"	"2"	"63.4368"	""	""	""
"1552"	"1552"	"iabtp226"	"63487849"	"63488132"	"283"	"2"	"63.4878"	"2 SSRs including that detected by SB1341"	"Overlap with SB1341"	""
"1560"	"1560"	"cup41"	"63619989"	"63620220"	"231"	"2"	"63.6200"	""	""	""
"1569"	"1569"	"isep0920"	"64215210"	"64215504"	"294"	"2"	"64.2152"	""	""	""
"1578"	"1578"	">SbMADS1"	"64442887"	"64443116"	"229"	"2"	"64.4429"	""	""	""
"1579"	"1579"	">OsMADS24"	"64442963"	"64443110"	"147"	"2"	"64.4430"	""	""	""
"1585"	"1585"	">ZCN18"	"64815700"	"64817334"	"1634"	"2"	"64.8157"	""	""	""
"1586"	"1586"	">ZCN24"	"64816175"	"64816835"	"660"	"2"	"64.8162"	""	""	""
"1590"	"1590"	"isep0849"	"64906603"	"64906745"	"142"	"2"	"64.9066"	""	"Overlap with SB1374"	""
"1592"	"1592"	"isep0944"	"65300764"	"65300936"	"172"	"2"	"65.3008"	""	""	""
"1598"	"1598"	"isep0939"	"65477987"	"65478185"	"198"	"2"	"65.4780"	"2 SSRs including that detected by Xisep1022"	"Overlap with Xisep1022"	""
"1599"	"1599"	"isep1022"	"65478064"	"65478192"	"128"	"2"	"65.4781"	"SSR segment included in Xisep0939"	"Overlap with Xisep0939"	""
"1612"	"1612"	"isep0942"	"65833243"	"65833463"	"220"	"2"	"65.8332"	""	""	""
"1614"	"1614"	"isep0910"	"65948160"	"65948354"	"194"	"2"	"65.9482"	""	""	""
"1618"	"1618"	"gpsb128"	"66168784"	"66169069"	"285"	"2"	"66.1688"	""	""	""
"1632"	"1632"	">ZmPSY3"	"67117359"	"67117604"	"245"	"2"	"67.1174"	""	""	""
"1633"	"1633"	">ZmPSY3"	"67117366"	"67117775"	"409"	"2"	"67.1174"	""	""	""
"1634"	"1634"	">OsPSY3"	"67117366"	"67117775"	"409"	"2"	"67.1174"	""	""	""
"1635"	"1635"	">SbPSY3"	"67119001"	"67119478"	"477"	"2"	"67.1190"	""	""	""
"1639"	"1639"	"mSbCIR187"	"67190624"	"67190784"	"160"	"2"	"67.1906"	""	""	""
"1644"	"1644"	"isep0935"	"67411116"	"67411314"	"198"	"2"	"67.4111"	""	""	""
"1651"	"1651"	"iabtp323"	"68224180"	"68224371"	"191"	"2"	"68.2242"	""	""	""
"1655"	"1655"	"txp428"	"68393144"	"68393357"	"213"	"2"	"68.3931"	""	"Overlap with SB1433"	""
"1656"	"1656"	"isep0718"	"68676817"	"68676986"	"169"	"2"	"68.6768"	""	""	""
"1657"	"1657"	"iabtp397"	"68690116"	"68690304"	"188"	"2"	"68.6901"	""	""	""
"1663"	"1663"	"txp429"	"68854038"	"68854252"	"214"	"2"	"68.8540"	""	""	""
"1666"	"1666"	"isep0729"	"69534956"	"69535199"	"243"	"2"	"69.5350"	""	""	""
"1669"	"1669"	"txp100(Kaf)"	"69639640"	"69639756"	"116"	"2"	"69.6396"	"SSR segment included in SB1445"	"Overlap with SB1445"	""
"1676"	"1676"	"isep0736"	"70090455"	"70090646"	"191"	"2"	"70.0905"	""	""	""
"1680"	"1680"	"txp207"	"70255870"	"70256054"	"184"	"2"	"70.2559"	""	"Overlap with Xtxp007"	""
"1681"	"1681"	"txp007"	"70255872"	"70256102"	"230"	"2"	"70.2559"	""	"Overlap with Xtxp207"	""
"1682"	"1682"	"cup26"	"70258460"	"70258680"	"220"	"2"	"70.2585"	""	""	""
"1686"	"1686"	"isep0732"	"70688704"	"70688903"	"199"	"2"	"70.6887"	""	""	""
"1687"	"1687"	"isep0733"	"70749042"	"70749372"	"330"	"2"	"70.7490"	""	""	""
"1691"	"1691"	"isep0841"	"70890176"	"70890391"	"215"	"2"	"70.8902"	""	"Overlap with Xiabtp190"	"Same as Xiabtp190"
"1692"	"1692"	"iabtp190"	"70890176"	"70890391"	"215"	"2"	"70.8902"	""	"Overlap with Xisep0841"	"Same as Xisep0841"
"1694"	"1694"	"isep0717"	"70959025"	"70959224"	"199"	"2"	"70.9590"	""	""	""
"1698"	"1698"	"iabtp388"	"71026433"	"71026562"	"129"	"2"	"71.0264"	""	""	""
"1699"	"1699"	"mSbCIR218"	"71035377"	"71035540"	"163"	"2"	"71.0354"	""	""	""
"1704"	"1704"	"txp296"	"71113137"	"71113305"	"168"	"2"	"71.1131"	""	""	""
"1708"	"1708"	"iabtp484"	"71604103"	"71604220"	"117"	"2"	"71.6041"	""	""	""
"1709"	"1709"	"isep0740"	"71662559"	"71662758"	"199"	"2"	"71.6626"	""	"Overlap with Xisep0741"	""
"1710"	"1710"	"isep0741"	"71662601"	"71662792"	"191"	"2"	"71.6626"	""	"Overlap with Xisep0740"	""
"1714"	"1714"	"iabtp205"	"71792948"	"71793113"	"165"	"2"	"71.7929"	"2 SSRs including that detected by BI139914"	"Overlap with SB1479 and Bl139914"	""
"1715"	"1715"	"BI139914"	"71793010"	"71793112"	"102"	"2"	"71.7930"	"SSR segment included in SB1479 and Xiabtp205"	"Overlap with SB1479 and Xiabtp205"	""
"1723"	"1723"	"iabtp076"	"72169545"	"72169837"	"292"	"2"	"72.1695"	""	"Overlap with SB1487"	""
"1728"	"1728"	"iabtp317"	"72334157"	"72334393"	"236"	"2"	"72.3342"	""	""	""
"1732"	"1732"	">TaPinB-D1ab"	"72611860"	"72611878"	"18"	"2"	"72.6119"	""	""	""
"1739"	"1739"	"isep0722"	"73057159"	"73057391"	"232"	"2"	"73.0572"	""	""	""
"1765"	"1765"	"isep1246"	"74421958"	"74422228"	"270"	"2"	"74.4220"	""	""	""
"1768"	"1768"	"gpsb118"	"74481518"	"74481644"	"126"	"2"	"74.4815"	""	""	""
"1770"	"1770"	"gpsb014"	"74507744"	"74508006"	"262"	"2"	"74.5077"	""	"Overlap with SB1533"	""
"1779"	"1779"	"isep0742"	"74768554"	"74768757"	"203"	"2"	"74.7686"	""	""	""
"1784"	"1784"	"isep0743"	"74944792"	"74944979"	"187"	"2"	"74.9448"	""	""	""
"1791"	"1791"	"cup40"	"75363307"	"75363500"	"193"	"2"	"75.3633"	""	""	""
"1797"	"1797"	"SRSC12_016"	"75670269"	"75670961"	"692"	"2"	"75.6703"	""	""	""
"1799"	"1799"	"isep0324"	"75702576"	"75702772"	"196"	"2"	"75.7026"	""	""	""
"1816"	"1816"	"isep0746"	"76629606"	"76629777"	"171"	"2"	"76.6296"	""	""	""
"1834"	"1834"	"cup69"	"77018851"	"77019103"	"252"	"2"	"77.0189"	""	""	""
"1837"	"1837"	"isep0734"	"77089121"	"77089316"	"195"	"2"	"77.0891"	""	""	""
"1851"	"1851"	"iabtp163"	"77526359"	"77526507"	"148"	"2"	"77.5264"	""	""	""
"1853"	"1853"	"isep0310"	"77623085"	"77623288"	"203"	"2"	"77.6231"	""	""	""
"1856"	"1856"	"isep0522"	"77751305"	"77751636"	"331"	"2"	"77.7513"	""	"Overlap with SB1616"	""
"1859"	"1859"	"iabtp065"	"77775960"	"77776046"	"86"	"2"	"77.7760"	""	""	""
"1866"	"1866"	"isep0106"	"116922"	"117122"	"200"	"3"	"0.1169"	""	""	""
"1869"	"1869"	"txp456"	"165056"	"165252"	"196"	"3"	"0.1651"	""	"Overlap with SB1627"	""
"1878"	"1878"	"txp496"	"403552"	"403621"	"69"	"3"	"0.4036"	""	""	""
"1880"	"1880"	"isep0104"	"421035"	"421231"	"196"	"3"	"0.4210"	""	""	""
"1888"	"1888"	"PRSC1_014"	"768597"	"769538"	"941"	"3"	"0.7686"	""	""	""
"1890"	"1890"	"txp478"	"776516"	"776732"	"216"	"3"	"0.7765"	"2 SSRs including that detected by SB1649"	"Overlap with SB1649"	"Similar to SB1649"
"1899"	"1899"	"txp495"	"1080943"	"1081113"	"170"	"3"	"1.0809"	""	"Overlap with SB1659"	""
"1902"	"1902"	"iabtp030"	"1183666"	"1183899"	"233"	"3"	"1.1837"	""	"Overlap with SB1662"	""
"1905"	"1905"	"iabtp357"	"1277141"	"1277387"	"246"	"3"	"1.2771"	""	""	""
"1907"	"1907"	"iabtp113"	"1335405"	"1335673"	"268"	"3"	"1.3354"	""	""	""
"1908"	"1908"	"isep0110"	"1465911"	"1466201"	"290"	"3"	"1.4659"	""	""	""
"1913"	"1913"	">ZCN14"	"1508093"	"1508790"	"697"	"3"	"1.5081"	""	""	""
"1918"	"1918"	"isep0126"	"1633101"	"1633299"	"198"	"3"	"1.6331"	""	""	""
"1921"	"1921"	"SRSC1_002"	"1698707"	"1699140"	"433"	"3"	"1.6987"	""	""	""
"1924"	"1924"	"txp494"	"1731129"	"1731342"	"213"	"3"	"1.7311"	""	"Overlap with SB1679 and Xiabtp077"	"Same as Xiabtp077"
"1925"	"1925"	"iabtp077"	"1731129"	"1731342"	"213"	"3"	"1.7311"	""	"Overlap with SB1679 and Xtxp494"	"Same as Xtxp494"
"1930"	"1930"	"iabtp028"	"1914402"	"1914478"	"76"	"3"	"1.9144"	"SSR segment included in Xtxp457"	"Overlap with Xtxp457"	""
"1931"	"1931"	"txp457"	"1914402"	"1914611"	"209"	"3"	"1.9144"	"2 SSRs including that detected by Xiabtp028"	"Overlap with Xiabtp028"	""
"1932"	"1932"	"cup11"	"1992880"	"1993044"	"164"	"3"	"1.9929"	""	""	""
"1934"	"1934"	"PRSC1_004"	"2147609"	"2147884"	"275"	"3"	"2.1476"	""	""	""
"1940"	"1940"	">ZCN23"	"2274506"	"2274780"	"274"	"3"	"2.2745"	""	""	""
"1945"	"1945"	"txp228"	"2526858"	"2527103"	"245"	"3"	"2.5269"	""	"Overlap with SB1696"	""
"1948"	"1948"	"txp116"	"2534185"	"2534331"	"146"	"3"	"2.5342"	"SSR segment included in SB1698"	"Overlap with SB1698"	""
"1952"	"1952"	"cup61"	"2576698"	"2576895"	"197"	"3"	"2.5767"	""	""	""
"1954"	"1954"	"txp518"	"2655308"	"2655508"	"200"	"3"	"2.6553"	""	""	""
"1956"	"1956"	"txp266"	"2783077"	"2783273"	"196"	"3"	"2.7831"	""	""	""
"1958"	"1958"	"isep0119"	"2938403"	"2938606"	"203"	"3"	"2.9384"	""	""	""
"1966"	"1966"	"isep0526"	"3147887"	"3148077"	"190"	"3"	"3.1479"	""	""	""
"1969"	"1969"	"isep0107"	"3209015"	"3209213"	"198"	"3"	"3.2090"	""	""	""
"1977"	"1977"	"iabtp446"	"3374349"	"3374719"	"370"	"3"	"3.3743"	""	""	""
"1978"	"1978"	">Sb_malic"	"3379201"	"3379494"	"293"	"3"	"3.3792"	""	""	""
"1981"	"1981"	"SRSC1_004"	"3519570"	"3519819"	"249"	"3"	"3.5196"	""	""	""
"1985"	"1985"	"txp492"	"3604320"	"3604510"	"190"	"3"	"3.6043"	"SSR segment included in SB1725"	"Overlap with SB1725, Xiabtp338 and Xiabtp519"	"Same as Xiabtp338 and Xiabtp519"
"1986"	"1986"	"iabtp338"	"3604320"	"3604510"	"190"	"3"	"3.6043"	"SSR segment included in SB1725"	"Overlap with SB1725, Xiabtp519, and Xtxp492"	"Same as Xtxp492 and Xiabtp519"
"1987"	"1987"	"iabtp519"	"3604320"	"3604510"	"190"	"3"	"3.6043"	"SSR segment included in SB1725"	"Overlap with SB1725, Xiabtp338, and Xtxp492"	"Same as Xtxp492 and Xiabtp338"
"1990"	"1990"	">SbtRNA_Glygene"	"3831592"	"3831751"	"159"	"3"	"3.8316"	""	""	""
"1993"	"1993"	"SRSC1_007"	"3885169"	"3885611"	"442"	"3"	"3.8852"	""	""	""
"1994"	"1994"	">OsGi"	"3886259"	"3887370"	"1111"	"3"	"3.8863"	""	""	""
"2010"	"2010"	"isep1218"	"4804175"	"4804374"	"199"	"3"	"4.8042"	""	""	""
"2022"	"2022"	"iabtp344"	"5124698"	"5124871"	"173"	"3"	"5.1247"	""	"Overlap with SB1754"	""
"2024"	"2024"	"iabtp382"	"5217892"	"5218056"	"164"	"3"	"5.2179"	"SSR segment included in SB1756"	"Overlap with SB1756"	""
"2028"	"2028"	"txp490"	"5475269"	"5475429"	"160"	"3"	"5.4753"	""	"Overlap with SB1758"	""
"2034"	"2034"	"isep1042"	"5641190"	"5641344"	"154"	"3"	"5.6412"	""	""	""
"2036"	"2036"	"isep0739"	"5829240"	"5829442"	"202"	"3"	"5.8292"	""	""	""
"2038"	"2038"	"txp489"	"6109873"	"6110115"	"242"	"3"	"6.1099"	""	"Overlap with Xiabtp207"	"Same as Xiabtp207"
"2039"	"2039"	"iabtp207"	"6109873"	"6110115"	"242"	"3"	"6.1099"	""	"Overlap with Xtxp489"	"Same as Xtxp489"
"2049"	"2049"	"txp451"	"6521703"	"6521857"	"154"	"3"	"6.5217"	"SSR segment included in SB1774"	"Overlap with SB1774"	""
"2054"	"2054"	"isep1137"	"6832997"	"6833206"	"209"	"3"	"6.8330"	""	""	""
"2056"	"2056"	"txp452"	"6841248"	"6841466"	"218"	"3"	"6.8412"	"SSR segment included in SB1779"	"Overlap with SB1779"	""
"2062"	"2062"	"isep0101"	"7097334"	"7097544"	"210"	"3"	"7.0973"	""	""	""
"2063"	"2063"	"iabtp386"	"7132214"	"7132426"	"212"	"3"	"7.1322"	""	"Overlap with SB1785"	""
"2069"	"2069"	"isep1030"	"7460801"	"7461046"	"245"	"3"	"7.4608"	""	""	""
"2070"	"2070"	"isep1047"	"7461222"	"7461382"	"160"	"3"	"7.4612"	""	"10 bp overlap with SB1790"	"Not same as SB1790"
"2074"	"2074"	"txp009"	"7561114"	"7561273"	"159"	"3"	"7.5611"	""	""	""
"2075"	"2075"	"txp488"	"7571470"	"7571626"	"156"	"3"	"7.5715"	"SSR segment included in SB1793"	"Overlap with SB1793"	""
"2077"	"2077"	"iabtp433"	"7648455"	"7648620"	"165"	"3"	"7.6485"	""	""	""
"2078"	"2078"	"isep1023"	"7678678"	"7678851"	"173"	"3"	"7.6787"	""	""	""
"2081"	"2081"	"isep0241"	"7762714"	"7762908"	"194"	"3"	"7.7627"	""	""	""
"2082"	"2082"	"isep0903"	"7848688"	"7848884"	"196"	"3"	"7.8487"	""	""	""
"2085"	"2085"	"iabtp199"	"8240218"	"8240364"	"146"	"3"	"8.2402"	""	""	""
"2087"	"2087"	"isep1012"	"8300383"	"8300588"	"205"	"3"	"8.3004"	""	"Overlap with SB1799 and Xtxp423"	""
"2088"	"2088"	"txp423"	"8300414"	"8300586"	"172"	"3"	"8.3004"	""	"Overlap with SB1799 and Xisep1012"	""
"2090"	"2090"	"isep1248"	"8384053"	"8384541"	"488"	"3"	"8.3841"	""	""	""
"2096"	"2096"	"iabtp29"	"8741651"	"8741845"	"194"	"3"	"8.7417"	""	""	""
"2097"	"2097"	"iabtp250"	"8757572"	"8757699"	"127"	"3"	"8.7576"	""	""	""
"2098"	"2098"	"iabtp259"	"8757753"	"8758020"	"267"	"3"	"8.7578"	""	""	""
"2099"	"2099"	">ZCN9"	"8770396"	"8770626"	"230"	"3"	"8.7704"	""	""	""
"2100"	"2100"	">ZCN10"	"8770400"	"8770619"	"219"	"3"	"8.7704"	""	""	""
"2102"	"2102"	"txp487"	"8772604"	"8772783"	"179"	"3"	"8.7726"	"SSR segment included in SB1809"	"Overlap with SB1809"	""
"2108"	"2108"	"isep0134"	"9039697"	"9039905"	"208"	"3"	"9.0397"	""	""	""
"2110"	"2110"	"iabtp298"	"9237737"	"9237839"	"102"	"3"	"9.2377"	""	""	""
"2116"	"2116"	"txp450"	"9893354"	"9893507"	"153"	"3"	"9.8934"	""	""	""
"2117"	"2117"	"PRSC1_009"	"9974032"	"9974962"	"930"	"3"	"9.9740"	""	""	""
"2122"	"2122"	"txp498"	"10415925"	"10416097"	"172"	"3"	"10.4159"	""	"Overlap with Xiabtp129"	"Same as Xiabtp129"
"2123"	"2123"	"iabtp129"	"10415925"	"10416097"	"172"	"3"	"10.4159"	""	"Overlap with Xtxp498"	"Same as Xtxp498"
"2127"	"2127"	"iabtp479"	"10588074"	"10588238"	"164"	"3"	"10.5881"	""	""	""
"2128"	"2128"	"cup34"	"10630355"	"10630478"	"123"	"3"	"10.6304"	""	""	""
"2138"	"2138"	"txp499"	"11541842"	"11541991"	"149"	"3"	"11.5418"	"SSR segment included in SB1840 and Xiabtp202"	"Overlap with Xiabtp202 and SB1840"	""
"2139"	"2139"	"iabtp202"	"11541843"	"11542060"	"217"	"3"	"11.5418"	""	"Overlap with Xtxp499 and SB1840"	""
"2148"	"2148"	"isep0111"	"11939211"	"11939409"	"198"	"3"	"11.9392"	""	""	""
"2154"	"2154"	"PRSC1_044"	"12451650"	"12452145"	"495"	"3"	"12.4517"	""	""	""
"2155"	"2155"	"PRSC1_029"	"12484920"	"12485400"	"480"	"3"	"12.4849"	""	""	""
"2156"	"2156"	"txp500"	"12524051"	"12524208"	"157"	"3"	"12.5241"	""	"Overlap with SB1854"	""
"2162"	"2162"	"txp458"	"12721873"	"12722003"	"130"	"3"	"12.7219"	""	"Overlap with SB1858"	""
"2177"	"2177"	"iabtp102"	"13775534"	"13775752"	"218"	"3"	"13.7755"	""	"Overlap with SB1872"	""
"2179"	"2179"	"txp501"	"14187309"	"14187458"	"149"	"3"	"14.1873"	""	"Overlap with SB1874"	""
"2188"	"2188"	"PRSC1_007"	"15655998"	"15656265"	"267"	"3"	"15.6560"	""	""	""
"2197"	"2197"	"iabtp093"	"15988469"	"15988931"	"462"	"3"	"15.9885"	"2 SSRs including that detected by SB1890"	"Overlap with SB1890"	""
"2198"	"2198"	"isep0132"	"16201601"	"16201802"	"201"	"3"	"16.2016"	""	""	""
"2202"	"2202"	"txp461"	"17047608"	"17047819"	"211"	"3"	"17.0476"	""	"Overlap with Xiabtp218 and Xtxp460"	"Same as Xiabtp218"
"2203"	"2203"	"iabtp218"	"17047608"	"17047819"	"211"	"3"	"17.0476"	""	"Overlap with Xtxp461 and Xtxp460"	"Same as Xtxp461"
"2204"	"2204"	"txp460"	"17047652"	"17047817"	"165"	"3"	"17.0477"	""	"Overlap with Xtxp461 and Xiabtp218"	""
"2214"	"2214"	"SRSC1_001"	"20829334"	"20830131"	"797"	"3"	"20.8293"	"Includes SSR segment of SB1906"	""	""
"2239"	"2239"	"PRSC1_001"	"46967539"	"46967750"	"211"	"3"	"46.9675"	""	""	""
"2245"	"2245"	"isep0109"	"49144527"	"49144730"	"203"	"3"	"49.1445"	""	""	""
"2247"	"2247"	"mSbCIR224"	"49147290"	"49147458"	"168"	"3"	"49.1473"	""	""	""
"2249"	"2249"	"iabtp505"	"49630798"	"49630993"	"195"	"3"	"49.6308"	""	"Overlap with SB1934"	""
"2250"	"2250"	"isep0105"	"49812346"	"49812641"	"295"	"3"	"49.8123"	""	""	""
"2258"	"2258"	"iabtp449"	"51176677"	"51176970"	"293"	"3"	"51.1767"	"2 SSRs including that detected by Xisep0114"	"Overlap with Xisep0114"	""
"2259"	"2259"	"isep0114"	"51176717"	"51176910"	"193"	"3"	"51.1767"	"SSR segment included in Xiabtp449"	"Overlap with Xiabtp449"	""
"2264"	"2264"	"txp033"	"51371397"	"51371613"	"216"	"3"	"51.3714"	""	"Overlap with SB1946"	""
"2276"	"2276"	"SRSC1_008"	"52035903"	"52037817"	"1914"	"3"	"52.0359"	""	""	""
"2281"	"2281"	"gap236"	"52317641"	"52317814"	"173"	"3"	"52.3176"	""	""	""
"2291"	"2291"	"isep0116"	"53303962"	"53304136"	"174"	"3"	"53.3040"	""	""	""
"2294"	"2294"	"isep0511"	"53584145"	"53584353"	"208"	"3"	"53.5841"	""	""	""
